,datetime,tempmin,year,yearly_rolling_avg
10,2034-12-31 00:00:00+00:00,17.131041138613817,2034,15.81
11,2035-12-31 00:00:00+00:00,17.028641484037543,2035,15.91
12,2036-12-31 00:00:00+00:00,16.21226796137967,2036,16.09
13,2037-12-31 00:00:00+00:00,15.789943002051126,2037,16.08
14,2038-12-31 00:00:00+00:00,16.804285061393408,2038,16.31
15,2039-12-31 00:00:00+00:00,17.325182566189806,2039,16.43
16,2040-12-31 00:00:00+00:00,15.696724205312607,2040,16.56
17,2041-12-31 00:00:00+00:00,14.66117320265194,2041,16.46
18,2042-12-31 00:00:00+00:00,15.25828943072304,2042,16.29
19,2043-12-31 00:00:00+00:00,15.544979541194609,2043,16.15
20,2044-12-31 00:00:00+00:00,17.668711402083762,2044,16.2
21,2045-12-31 00:00:00+00:00,16.636663705166036,2045,16.16
22,2046-12-31 00:00:00+00:00,17.441050141739673,2046,16.28
23,2047-12-31 00:00:00+00:00,16.522999038922066,2047,16.36
24,2048-12-31 00:00:00+00:00,17.92589669491285,2048,16.47
25,2049-12-31 00:00:00+00:00,15.226497096167336,2049,16.26
26,2050-12-31 00:00:00+00:00,17.733168588261144,2050,16.46
